,Vote,Country,Name,First,Second,Third
63,Captain,Iceland,Gunnarsson Aron Einar,Cristiano Ronaldo,Neymar,Modric Luka
64,Captain,India,Chhetri Sunil,Ramos Sergio,Cristiano Ronaldo,Messi Lionel
65,Captain,Indonesia,Salossa Boas,Cristiano Ronaldo,Neymar,Ramos Sergio
66,Captain,Iran,Hosseini Seyed Jalal,Cristiano Ronaldo,Messi Lionel,Neymar
67,Captain,Iraq,Mohammed Kasid,Cristiano Ronaldo,Neymar,Messi Lionel
68,Captain,Israel,Zahavi Eran,Cristiano Ronaldo,Messi Lionel,Dybala Paulo
69,Captain,Italy,Buffon Gianluigi,Cristiano Ronaldo,Dybala Paulo,Modric Luka
70,Captain,Jamaica,Blake Andre,Cristiano Ronaldo,Messi Lionel,Neymar
71,Captain,Japan,Hasebe Makoto,Cristiano Ronaldo,Bonucci Leonardo,Modric Luka
72,Captain,Jordan,Shafi' Amer,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
73,Captain,Kazakhstan,Islamkhan Bauyrzhan,Messi Lionel,Cristiano Ronaldo,Iniesta Andrés
74,Captain,Korea Republic,Ki Sungyueng,Cristiano Ronaldo,Modric Luka,Messi Lionel
75,Captain,Kosovo,Ujkani Samir,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
76,Captain,Kyrgyz Republic,Baimatov Azamat,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
77,Captain,Laos,Sayavoutthi Khampheng,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
78,Captain,Latvia,Gorkšss Kaspars,Cristiano Ronaldo,Messi Lionel,Bonucci Leonardo
79,Captain,Lebanon,Maatouk Hassan,Cristiano Ronaldo,Messi Lionel,Neymar
80,Captain,Liberia,Dennis Teah,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
81,Captain,Liechtenstein,Jehle Peter,Cristiano Ronaldo,Kroos Toni,Buffon Gianluigi
82,Captain,Lithuania,Cernych Fedor,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
83,Captain,Luxembourg,Mutsch Mario,Kroos Toni,Cristiano Ronaldo,Ramos Sergio
84,Captain,Macau,Cheang Cheng Ieong Paulo,Cristiano Ronaldo,Kanté N'Golo,Messi Lionel
85,Captain,Madagascar,Andriatsima Faneva,Cristiano Ronaldo,Neymar,Marcelo
86,Captain,Maldives,Ashfaq Ali,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
87,Captain,Malta,Mifsud Michael,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
88,Captain,Mauritius,Bru Kevin,Modric Luka,Cristiano Ronaldo,Messi Lionel
89,Captain,Mexico,Guardado Andres,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
90,Captain,Moldova,Epureanu Alexandru,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
91,Captain,Mongolia,Daginaa Turbat,Cristiano Ronaldo,Ramos Sergio,Dybala Paulo
92,Captain,Montenegro,Jovetic Stevan,Messi Lionel,Neymar,Cristiano Ronaldo
93,Captain,Montserrat,Griffith Anthony,Suárez Luis,Kane Harry,Kanté N'Golo
94,Captain,Morocco,Elmoutaki Mehdi,Buffon Gianluigi,Dybala Paulo,Cristiano Ronaldo
95,Captain,Mozambique,Pelembe Elias,Cristiano Ronaldo,Messi Lionel,Aubameyang Pierre-Emerick
96,Captain,Myanmar,Kyaw Yan Aung,Cristiano Ronaldo,Neymar,Messi Lionel
97,Captain,Namibia,Ketjijere Ronald,Cristiano Ronaldo,Messi Lionel,Neymar
98,Captain,Nepal,Maharjan Biraj,Ibrahimovic Zlatan,Griezmann Antoine,Cristiano Ronaldo
99,Captain,Netherlands,Robben Arjan,Cristiano Ronaldo,Ramos Sergio,Marcelo
100,Captain,New Caledonia,Wakanumune Joel,Ramos Sergio,Cristiano Ronaldo,Neymar
